"Latitude","Longitude"
40.81414448,-73.95570545
40.81445,-73.959195
40.80550908,-73.9620072
40.80550908,-73.9620072
40.809176,-73.951895
40.801772,-73.962879
40.801659,-73.966508
40.804644,-73.953799
40.799644,-73.960755
40.802057,-73.96453
40.80355422,-73.96911325
40.813001,-73.956543
40.801426,-73.964987
40.8084177460021,-73.9524740603515
40.811747,-73.952823
40.8084177460021,-73.9524740603515
40.803887,-73.967894
40.814857,-73.960205
40.802896,-73.960698
40.800513,-73.963796
40.802602,-73.967928
40.801888,-73.955356
40.804535,-73.957786
40.801888,-73.955356
40.809678,-73.953426
40.800895,-73.966793
40.81445,-73.959195
40.804644,-73.953799
40.8084177460021,-73.9524740603515
40.803881,-73.954092
40.804644,-73.953799
40.814495,-73.962519
40.8084177460021,-73.9524740603515
40.799457,-73.96743
40.801659,-73.966508
40.80612829,-73.96737458
40.813984,-73.960188
40.800895,-73.966793
40.81445,-73.959195
40.811068,-73.953301
40.802972,-73.96572
40.81076448,-73.95259015
40.800895,-73.966793
40.813219,-73.961398
40.799837,-73.964287
40.81043,-73.952835
40.801772,-73.962879
40.806667,-73.953728
40.81043,-73.952835
40.81386,-73.956684
40.815423,-73.958062
40.8084177460021,-73.9524740603515
40.812187,-73.955237
40.8084177460021,-73.9524740603515
40.8084177460021,-73.9524740603515
40.8011103,-73.9652135
40.8084177460021,-73.9524740603515
40.804044,-73.952379
40.803139,-73.954445
40.8084177460021,-73.9524740603515
40.799574,-73.962622
40.81076448,-73.95259015
40.80441979,-73.95536877
40.807134,-73.965872
40.803121,-73.952599
40.811068,-73.953301
40.813767,-73.955983
40.81445,-73.959195
40.814495,-73.962519
40.813219,-73.961398
40.804644,-73.953799
40.8084177460021,-73.9524740603515
40.81076448,-73.95259015
40.803881,-73.954092
40.811104,-73.952346
40.803881,-73.954092
40.815423,-73.958062
40.81445,-73.959195
40.804644,-73.953799
40.799447,-73.966434
40.803881,-73.954092
40.803569,-73.965282
40.80880331,-73.95588239
40.8084177460021,-73.9524740603515
40.806626,-73.956568
40.80482696,-73.96621573
40.805823,-73.961778
40.806108,-73.963428
40.811938,-73.957318
40.81043,-73.952835
40.799837,-73.964287
40.806108,-73.963428
40.8084177460021,-73.9524740603515
40.8033,-73.963624
40.802972,-73.96572
40.80728,-73.95518
40.812941,-73.95588
40.811861,-73.959231
40.807296,-73.95327
40.81076448,-73.95259015
40.804438,-73.961397
40.806247,-73.951756
40.810606,-73.960146
40.804644,-73.953799
40.806667,-73.953728
40.806112,-73.953382
40.808404,-73.958798
40.811747,-73.952823
40.81445,-73.959195
40.8084177460021,-73.9524740603515
40.800099,-73.965958
40.804644,-73.953799
40.813123,-73.954166
40.8084177460021,-73.9524740603515
40.80560932,-73.95818908
40.8084177460021,-73.9524740603515
40.80096043,-73.96905666
40.804778,-73.952166
40.8084177460021,-73.9524740603515
40.803121,-73.952599
40.8084177460021,-73.9524740603515
40.8084177460021,-73.9524740603515
40.8084177460021,-73.9524740603515
40.804758,-73.955121
40.809678,-73.953426
40.803422,-73.957051
40.815324,-73.95921
40.81386,-73.956684
40.802972,-73.96572
40.802386,-73.96247
40.806108,-73.963428
40.806981,-73.95155
40.81386,-73.956684
40.803881,-73.954092
40.8084177460021,-73.9524740603515
40.800099,-73.965958
40.8084177460021,-73.9524740603515
40.814495,-73.962519
40.81445,-73.959195
40.8084177460021,-73.9524740603515
40.806468,-73.960209
40.8084177460021,-73.9524740603515
40.802516,-73.954899
40.814495,-73.962519
40.8084177460021,-73.9524740603515
40.810268,-73.957497
40.799024,-73.96026
40.8084177460021,-73.9524740603515
40.812941,-73.95588
40.799655,-73.959802
40.809678,-73.953426
40.8084177460021,-73.9524740603515
40.801772,-73.962879
40.802057,-73.96453
40.809038,-73.957431
40.813123,-73.954166
40.803121,-73.952599
40.800272,-73.960296
40.814495,-73.962519
40.804044,-73.952379
40.812187,-73.955237
40.813123,-73.954166
40.8084177460021,-73.9524740603515
40.8084177460021,-73.9524740603515
40.801143,-73.963338
40.805778,-73.967513
40.8084177460021,-73.9524740603515
40.8084177460021,-73.9524740603515
40.80178,-73.967838
40.8084177460021,-73.9524740603515
40.799978,-73.956584
40.8084177460021,-73.9524740603515
40.803139,-73.954445
40.803868,-73.966921
40.80823051,-73.96653188
40.8084177460021,-73.9524740603515
40.8084177460021,-73.9524740603515
40.804498,-73.966458
40.8084177460021,-73.9524740603515
40.806031,-73.955143
40.805141,-73.96599
40.8084177460021,-73.9524740603515
40.800913,-73.959064
40.8084177460021,-73.9524740603515
40.8084177460021,-73.9524740603515
40.811068,-73.953301
40.806112,-73.953382
40.81386,-73.956684
40.799837,-73.964287
40.806108,-73.963428
40.81445,-73.959195
40.812371,-73.953336
40.805411,-73.954645
40.811938,-73.957318
40.801888,-73.955356
40.8084177460021,-73.9524740603515
40.802972,-73.96572
40.803139,-73.954445
40.8084177460021,-73.9524740603515
40.811229,-73.959692
40.805197,-73.962241
40.81445,-73.959195
40.8084177460021,-73.9524740603515
40.8084177460021,-73.9524740603515
40.799457,-73.96743
40.804438,-73.961397
40.81445,-73.959195
40.804349,-73.960196
40.8084177460021,-73.9524740603515
40.803422,-73.957051
40.811938,-73.957318
40.803887,-73.967894
40.802386,-73.96247
40.803881,-73.954092
40.803868,-73.966921
40.800144,-73.968085
40.80405,-73.95659
40.8084177460021,-73.9524740603515
40.811229,-73.959692
40.814367,-73.957138
40.799447,-73.966434
40.803139,-73.954445
40.799457,-73.96743
40.8084177460021,-73.9524740603515
40.8084177460021,-73.9524740603515
40.802334,-73.966167
40.800631,-73.956275
40.814857,-73.960205
40.801538,-73.958421
