"Latitude","Longitude"
40.8084177460021,-73.9524740603515
40.8084177460021,-73.9524740603515
40.8084177460021,-73.9524740603515
40.81445,-73.959195
40.804438,-73.961397
40.813196,-73.958257
40.804758,-73.955121
40.813001,-73.956543
40.8084177460021,-73.9524740603515
40.808511,-73.955188
40.804535,-73.957786
40.81386,-73.956684
40.807022,-73.964619
40.800631,-73.956275
40.81445,-73.959195
40.800857,-73.961687
40.812371,-73.953336
40.81445,-73.959195
40.802334,-73.966167
40.811804,-73.954903
40.81076448,-73.95259015
40.806108,-73.963428
40.813767,-73.955983
40.812941,-73.95588
40.805823,-73.961778
40.805823,-73.961778
40.806112,-73.953382
40.80178,-73.967838
40.81338989,-73.95625868
40.804855,-73.964343
40.803881,-73.954092
40.801888,-73.955356
40.806022,-73.956098
40.81076448,-73.95259015
40.811938,-73.957318
40.811804,-73.954903
40.799035,-73.959307
40.81445,-73.959195
40.809164,-73.953804
40.799457,-73.96743
40.801659,-73.966508
40.81445,-73.959195
40.79913178,-73.96666287
40.81445,-73.959195
40.8084177460021,-73.9524740603515
40.8084177460021,-73.9524740603515
40.801772,-73.962879
40.8084177460021,-73.9524740603515
40.802896,-73.960698
40.802386,-73.96247
40.798944,-73.962172
40.80399068,-73.96031761
40.8084177460021,-73.9524740603515
40.8084177460021,-73.9524740603515
40.801143,-73.963338
40.802516,-73.954899
40.804349,-73.960196
40.81445,-73.959195
40.802642,-73.968835
40.81386,-73.956684
40.8084177460021,-73.9524740603515
40.801258,-73.955816
40.81445,-73.959195
40.80629,-73.952832
40.811938,-73.957318
40.80777,-73.959256
40.80246953,-73.95868951
40.805823,-73.961778
40.799024,-73.96026
40.81445,-73.959195
40.81133129,-73.96401965
40.805141,-73.966969
40.811938,-73.957318
40.80545262,-73.96576389
40.811938,-73.957318
40.80293677,-73.96956142
40.806626,-73.956568
40.805999,-73.957024
40.8084177460021,-73.9524740603515
40.799024,-73.96026
40.801772,-73.962879
40.802972,-73.96572
40.809164,-73.953804
40.806031,-73.955143
40.80237259,-73.96430261
40.799644,-73.960755
40.803422,-73.957051
40.805315,-73.957502
40.805999,-73.957024
40.802516,-73.954899
40.804644,-73.953799
40.800513,-73.963796
40.800513,-73.963796
40.8122529,-73.9621045
40.80117223,-73.96145705
40.802972,-73.96572
40.8084177460021,-73.9524740603515
40.80839594,-73.95295307
40.80537,-73.956574
40.800879,-73.960761
40.80174145,-73.96475806
40.803422,-73.957051
40.799837,-73.964287
40.81386,-73.956684
40.8033,-73.963624
40.802516,-73.954899
40.802516,-73.954899
40.8084177460021,-73.9524740603515
40.799035,-73.959307
40.802801,-73.95655
40.800631,-73.956275
40.805402,-73.9556
40.81445,-73.959195
40.804758,-73.955121
40.802334,-73.966167
40.804572,-73.962698
